embedding_text,category
مونتانا ذره مونتانا 400ج,Vegetables & Fruits
ahmad tea fruit and herb selection herbal teabags Ahmad,"Tea, Coffee & Hot Drinks"
lulu brown samoon Brown,Bakery
فلفل رومى بلدى حشو وزن فلفل,Vegetables & Fruits
كانز كانز,Soft Drinks & Juices
farmers sweet corn Farmers 400g,"Tins, Jars & Packets"
رسلان بسكويت فنجر رام رسلان 600ج,Biscuits & Cakes
حلوانى لانشون سادة 1400 330 4620 حلوانى,Beef & Processed Meat
tabarak stuffing eggplant m Tabarak 250g,Vegetables & Fruits
تورته شوكلاته ميكس تورته,"Chocolates, Sweets & Desserts"
katakito extra with hazelnut 12 Katakito 40G,Biscuits & Cakes
كانز بيبسى كانز,Soft Drinks & Juices
atyab grilled chicken wings Atyab 500g,Poultry
دايم برجر 25ق بطاطسهديه دايم,Beef & Processed Meat
عيش وملح 100 1 100 عيش ٣٠٠جم,Bakery
كاتشب اورجينال رام كاتشب 355ج,"Sauces, Dressings & Condiments"
صوص بيج ماك صوص,"Sauces, Dressings & Condiments"
الطحان تمر مكسرات علبه زجاجه الطحان,"Nuts, Dates & Dried Fruits"
مبنيس وراك دجاج متبله مبنيس,Poultry
فيري الترا اصلي سائل غسيل الاطباق فيري 450جم,Cleaning Supplies
عصير بنكهة الخوخ من حاج عرفة رام عصير 400ج,Soft Drinks & Juices
farm fresh peeled garlic ram Farm 950G,Vegetables & Fruits
شيكولاتة ريتر يبورت بموس الكاكاو شيكولاتة 100جم,"Chocolates, Sweets & Desserts"
tiffany digestive light natural wheat biscuits rams Tiffany 400g,Biscuits & Cakes
sunshine minced molokhia ram Sunshine 400G,Vegetables & Fruits
jewels assorted chocolates Assorted 650g Box,"Chocolates, Sweets & Desserts"
لمار حليب محلى لمار,Dairy & Eggs
جهينه عصير جوافه بيور جهينه 1لتر,Soft Drinks & Juices
شيبسى سوبر ملك انواع شيبسى,Chips & Crackers
باندا جبنه باندا 500ج,Dairy & Eggs
brownie chocolate cake s Brownie,Biscuits & Cakes
كانز بيبسى كانز,Soft Drinks & Juices
happy egg baladi eggs Happy,Dairy & Eggs
fisherman caviar cremepas Fisherman,"Tins, Jars & Packets"
جيلى ترولى بطعم الكولا جيلى,"Chocolates, Sweets & Desserts"
fava beans with chili m Fava 400g Can,"Tins, Jars & Packets"
mr organic italian basilico pasta sauce Mr 350g,"Tins, Jars & Packets"
ميرندا مشروب غازى برتقال ل ميرندا 250مل,Soft Drinks & Juices
لبن بودره ميرو لبن 800جم,Dairy & Eggs
بارميزان برجر وجبه كبيرهكوكاكولا حجم كبير بارميزان,Bakery
ريتش صدور دجاج مدخن ريتش,Poultry
farm fresh artichoke m Farm 400g,Vegetables & Fruits
238 extmozzarella cheese Cheese,Dairy & Eggs
بطيخ بلدي 72 9 648 بطيخ,Vegetables & Fruits
مياه طبيعية صافي مياه 1.5لتر,Water
زاري أرز ذهبي فاخر طويل الحبة زاري 1كجم,"Rice, Pasta & Pulses"
توك بسكويت توك 24ج,Biscuits & Cakes
ويفر بكريمة الكاكاو لواكر ويفر 45جم,Biscuits & Cakes
مشروب ميرندا بلس يوسفى علبه مشروب,Soft Drinks & Juices
زاهر طحينه وزن زاهر كيس,"Sauces, Dressings & Condiments"
حدائق تونه شرائح مدخنه حدائق 120جم,"Tins, Jars & Packets"
كوكاكولا استار كوكاكولا 330مل,Soft Drinks & Juices
fresh farm beef hot dog Fresh 1Kg,Beef & Processed Meat
زاهر ايس كريم بوله زاهر 12ج,"Chocolates, Sweets & Desserts"
brix purple floor cleaner Brix 3L,Cleaning Supplies
شاي ليبتون 26فتلة عرض نية 1 0 900 شاي 9ج,"Tea, Coffee & Hot Drinks"
فيرى منظف مركز اصلى ٤٥ 2195 1 2195 فيرى,Cleaning Supplies
قهوتي بن محوج سكر مظبوط جاهز للتحضير قهوتي كيس,"Tea, Coffee & Hot Drinks"
بيبسى كانز بيبسى,Soft Drinks & Juices
ثرى شفس سينجلز اسكالوب لحم ثرى 90جم,Beef & Processed Meat
المتحده قوانص صافى فريش المتحده 500جم,Poultry
علبه لارج علبه,Biscuits & Cakes
بريد واى برجر بالسمسم بريد 220جم,Beef & Processed Meat
جبنة كورة جبنة,Dairy & Eggs
لاكتيل لبن فريش كامل لاكتيل 1لتر,Dairy & Eggs
كانز بيبسى كانز,Soft Drinks & Juices
california garden egyptian foul ram Garden 400G,"Tins, Jars & Packets"
أوراق الزعتر أوراق,Vegetables & Fruits
بيض شيدر بلدي بيض,Dairy & Eggs
فريش فارم قشطه رومى 1ك فريش,Poultry
تايجر صويا صوص فاتحغامق ل تايجر 320مل,"Sauces, Dressings & Condiments"
فيرى مواعين فيرى,Cleaning Supplies
atyab chicken strips Atyab 400g,Poultry
kiri triangle cheese Kiri,Dairy & Eggs
بيبسي كانز 2 750 بيبسي ٢٥٠مل,Soft Drinks & Juices
sun shine light tuna meat chunks easy open m Sun 185G,"Tins, Jars & Packets"
جبنه بيضاء اسطنبولى جبنه,Dairy & Eggs
تمرى فيليه 1ك تمرى,Poultry
منظف تواليت ماجيك برائحة الليمون منظف 700مل,Cleaning Supplies
2625 875 3 fizz pure nestle 26.25,Water
برنجلز شيبسى ملح برنجلز 130جم,Chips & Crackers
كبده بقري مجمده كبده 450جم,Beef & Processed Meat
danone 53 plain Danone 105G,Dairy & Eggs
سوبر سوبريم سيسليان بيبيسي كانز سوبر 330مل,"Personal Care, Skin & Body Care"
تانج مانجو تانج 25ج,Soft Drinks & Juices
twinings gunpowder green tea and mint ram Twinings 200G,"Tea, Coffee & Hot Drinks"
blue mare caviar cream extra Mare 190g,"Tins, Jars & Packets"
اطياب لانشون لاحمه اطياب 250جم,Beef & Processed Meat
dilmah green tea with mint 20 tea bags Green,"Tea, Coffee & Hot Drinks"
هولز حلوى بنكهة الفراولة هولز ٢٥.٢جم,"Chocolates, Sweets & Desserts"
وعاء بلاستيك م ب س وعاء,Furniture
شيبسى سوبر الملك طماطم 40رام شيبسى 45ج,Chips & Crackers
مشروم قطع مونارك مشروم 400جم,Vegetables & Fruits
تايجر شيبس طماطم تايجر,Chips & Crackers
كوكى فراخ شيش طاووق مشوى كوكى 350جم,Poultry
جهينه مكس فراز جهينه 105جم,Dairy & Eggs
تشيكن فليه سائد قاموس ستارساندوتش بالجبنن بطاطا عادي متوسط بيبسي كانز تشيكن,Soft Drinks & Juices
هيرو بيبي خضار مشكلة هيرو 120جم,Vegetables & Fruits
اليمنى بن ساده فاتح، رام اليمنى 200ج,"Tea, Coffee & Hot Drinks"
سي كمارا بسكويت بالكاكاو محشو مارشملو سي,Biscuits & Cakes
حليب مكس فراوله حليب,Dairy & Eggs
الاطيب مكرونة خواتم ك 1ك الاطيب,"Rice, Pasta & Pulses"
هوت صوص هيرمان هوت 473مل,"Sauces, Dressings & Condiments"
iliada k olive tomatoes sp K 175G,"Tins, Jars & Packets"
large water Water,Water
عيش بلدي فينو عيش,Bakery
كانز كانز,Soft Drinks & Juices
اوراك دجاج روستي فريش وزن اوراك,Poultry
halwani tahina m Tahina 710G,"Sauces, Dressings & Condiments"
زجاجه مياه صغيره زجاجه,Water
بسمة بسلة بالجزر بسمة ٤٠٠جم,Vegetables & Fruits
4750 4750 1 water natural nestle 47.50,Water
snickers miniatures m Snickers 150G,"Chocolates, Sweets & Desserts"
دومتى عصير مانجو تتراباك دومتى 235مل,Soft Drinks & Juices
بريتزو مينى ستكس بريتزو,Chips & Crackers
سن توب اناناس برتقالتوت مشكل سن 1لتر,Soft Drinks & Juices
مكفتيز مينز قمح دارك مكفتيز 52ج,Biscuits & Cakes
دونات توداي بالشوكولاتة والكراميل دونات,Biscuits & Cakes
الضحى مكرونه فيوزللى الضحى 400جم,"Rice, Pasta & Pulses"
مفروم فاخر 1ك مفروم,Beef & Processed Meat
كوكي فراخ بانية كرانشي سبايسي كوكي,Poultry
دومتي جبنة بيضاء بالخيار دومتي 500جم,Dairy & Eggs
بيبسى كانز بيبسى,Soft Drinks & Juices
توب شيف خبز شعير 3ف توب,Bakery
النور ملح 200 النور 250جم,Cooking Ingredients
alwatania chicken pane m Chicken 500g,Poultry
تروللى 4 دور بلاستيك بعجل 666 تروللى,Furniture
بطاطس تحمير 2030 650 1320 بطاطس,Vegetables & Fruits
بونجورنو عيش لبنانى بونجورنو,Bakery
1 pepsi b Pepsi Bottle,Soft Drinks & Juices
three chefs chicken pane Three 400g,Poultry
isis natural water iter of 12 Isis 1.5L Pack,Water
بامية لولو مجمدة ٤٠٠ غرام بامية,Vegetables & Fruits
علبه مشكل لوكس كبير 50 ق علبه,Bakery
مياه فللو مياه 600مل,Water
danone light yoghurt Danone 170g,Dairy & Eggs
دايجيستف بسكويت الشوفان محشو 2 200 400 دايجيستف,Biscuits & Cakes
2350 cocacola regular 1 23.50,Soft Drinks & Juices
عافيه زيت ذره عافيه 800مل,Cooking Ingredients
كفتة داوود باشا بلدي كفتة,Beef & Processed Meat
juhayna yogurt plain 93 Juhayna 105g,Dairy & Eggs
المطبخ المصرى ارز عرض المطبخ 1كجم,"Rice, Pasta & Pulses"
عنب احمر 2020 35 7070 عنب,Vegetables & Fruits
مشروب كانز مشروب,Soft Drinks & Juices
corona hot choco cinnamon 31 1p Corona,"Chocolates, Sweets & Desserts"
عش البلبل اللبناني هاواي عش 300جم,Bakery
كوكاكولا بلاستيك كوكاكولا 2.45لتر,Soft Drinks & Juices
خل تفاح طبيعي لي خل 300مل,"Sauces, Dressings & Condiments"
كوكاكولا كوكاكولا 1.5لتر,Soft Drinks & Juices
بسمتى تيلاندى بسمتى,"Rice, Pasta & Pulses"
علبه مخلل مشكل علبه,"Tins, Jars & Packets"
al watania fried chicken Watania,Poultry
مسحوق قرفة مسحوق 150جم,Cooking Ingredients
أكوافينا مياه الشرب المعبأة أكوافينا 1.5لتر,Water
فريز مشروب توت فوار فريز,Soft Drinks & Juices
اريال اوتوماتيك جل لافندر 25ك اريال,Cleaning Supplies
شيفى مكس صوص الديمي جلاس شيفى 100جم,"Sauces, Dressings & Condiments"
vanilla butter cream cake small 1pc Butter,Biscuits & Cakes
وادي فوود صلصة طماطم وادي 3كجم,"Tins, Jars & Packets"
دساني جالون دساني 18.90لتر,Water
رويال مكرونة خواتم صغيرة رويال 400جم,"Rice, Pasta & Pulses"
tiffany glucose milk honey biscuits 12 x Tiffany 40g,Biscuits & Cakes
نعناع بلدى نعناع 100جم,Vegetables & Fruits
nescafe cappuvanilla Nescafe 18.5g,"Tea, Coffee & Hot Drinks"
ريتش بيك بقبسماط مطحون ريتش 500ج,Bakery
علبه توم اند بصل علبه,Vegetables & Herbs
مولتو كبير مولتو,Bakery
وندربار كادبورى وندربار 49جم,"Chocolates, Sweets & Desserts"
جبنه ماينز زيتون جبنه,Dairy & Eggs
durra tomato ketchupsweet500 Durra,"Sauces, Dressings & Condiments"
شاي أسود بنكهة القرفة 20 شاي,"Tea, Coffee & Hot Drinks"
americana broad beans ram Americana 400G,"Tins, Jars & Packets"
black pepper wholeimp approx weight Pepper 150g,Cooking Ingredients
اطياب قشطه دجاج بالكيلو اطياب,Poultry
بيض بلدي فلاحي 226 15 3390 بيض,Dairy & Eggs
قهوه ميلكى قهوه 18ج,"Tea, Coffee & Hot Drinks"
taste pure pepperoni m Taste 250g,Beef & Processed Meat
عصير جوافة نكتار من بارادايس بسعة عصير 300مل علبة,Soft Drinks & Juices
بالسن بيك اب بالشوكولاته و الحليب بالسن 28جم,Biscuits & Cakes
فارم فريتس بطاطس ستيك هاوس رام فارم 700ج,Vegetables & Fruits
اشهي لانشون بقري ساده اشهي 250جم,Beef & Processed Meat
premium fava beans plain medammas m Premium 400g,"Tins, Jars & Packets"
هاينز مايونيز 180 هاينز,"Sauces, Dressings & Condiments"
كوكاكولا بلاستيك كوكاكولا 300مل,Soft Drinks & Juices
فاكهه عصير مانجو فاكهه 250مل,Soft Drinks & Juices
sunbites olive oregano snacks m Sunbites 31g,Chips & Crackers
فانتا برتقال فانتا 250مل,Soft Drinks & Juices
عصير رمان دون سكر عصير 1.5لتر,Soft Drinks & Juices
atyab hot breaded chicken fillet Atyab 500g,Poultry
خيار صوب رام ٩٥٠ ١٠٣٦ خيار ١.٠٩ج,Vegetables & Fruits
كلوركس كلور جركن كلوركس 1.89لتر,Cleaning Supplies
كولا كانز كولا,Soft Drinks & Juices
ويفر ماستر ويفر 32ج,Biscuits & Cakes
لمار لبن خالى الدسم 1745 1 45 لمار 1لتر,Dairy & Eggs
deemah strawberry cream biscuits ram Deemah 68g,Biscuits & Cakes
اكوافينا مياه معدنيه زجاجه اكوافينا 1.5لتر,Water
glass cleaner scent of fruits 1 free - 550ml,Cleaning Supplies
le 2300 1 2300 16 snacks salt mixy pretzo 23.00,Chips & Crackers
جاردينو كاتشب ديوباك جاردينو 280جم,"Sauces, Dressings & Condiments"
رو بطاطس بالهلابينو رو 95جم,Chips & Crackers
faiez al suhagy crushed beans m Faiez 500g,"Rice, Pasta & Pulses"
domty apple juice Domty 1L,Soft Drinks & Juices
balady beef sausage by weight Beef,Beef & Processed Meat
فراخ بانية فراخ,Poultry
فلفل اسود فلفل 230جم,Cooking Ingredients
زجاجه بيبسى زجاجه,Soft Drinks & Juices
جلاكسى ام اند ام شيكولاته جلاكسى 37جم,"Chocolates, Sweets & Desserts"
دامفى خبز توست المح الكامل دامفى,Bakery
مطبقيه مودرن بلاستيك مطبقيه,Furniture
كيرى جبن سبريد كيرى,Dairy & Eggs
روز بيف شرائح روز,Beef & Processed Meat
أرز بسمتي ذهبي فاخر دريا 5ك أرز,"Rice, Pasta & Pulses"
tiffany break rizzo crunchy wafer with caramel x Tiffany 35g,Biscuits & Cakes
sauce q honey Sauce,"Sauces, Dressings & Condiments"
كادبورى ديرى ميلك ساده وبندق بالشيكولاته كادبورى 110جم,"Chocolates, Sweets & Desserts"
2749 حلواني لانشون لحمة 27.49,Beef & Processed Meat
