embedding_text,category,label,predicted_label,predicted_category
مونتانا ذره مونتانا 400ج,Vegetables & Fruits,36,3,Beef & Processed Meat
ahmad tea fruit and herb selection herbal teabags Ahmad,"Tea, Coffee & Hot Drinks",34,37,Vegetables & Herbs
lulu brown samoon Brown,Bakery,1,2,Beef & Lamb Meat
فلفل رومى بلدى حشو وزن فلفل,Vegetables & Fruits,36,28,"Rice, Pasta & Pulses"
كانز كانز,Soft Drinks & Juices,30,6,Candles & Air Fresheners
farmers sweet corn Farmers 400g,"Tins, Jars & Packets",35,11,Cooking Ingredients
رسلان بسكويت فنجر رام رسلان 600ج,Biscuits & Cakes,4,28,"Rice, Pasta & Pulses"
حلوانى لانشون سادة 1400 330 4620 حلوانى,Beef & Processed Meat,3,8,"Chocolates, Sweets & Desserts"
tabarak stuffing eggplant m Tabarak 250g,Vegetables & Fruits,36,11,Cooking Ingredients
تورته شوكلاته ميكس تورته,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
katakito extra with hazelnut 12 Katakito 40G,Biscuits & Cakes,4,11,Cooking Ingredients
كانز بيبسى كانز,Soft Drinks & Juices,30,30,Soft Drinks & Juices
atyab grilled chicken wings Atyab 500g,Poultry,27,11,Cooking Ingredients
دايم برجر 25ق بطاطسهديه دايم,Beef & Processed Meat,3,22,"Nuts, Dates & Dried Fruits"
عيش وملح 100 1 100 عيش ٣٠٠جم,Bakery,1,3,Beef & Processed Meat
كاتشب اورجينال رام كاتشب 355ج,"Sauces, Dressings & Condiments",29,2,Beef & Lamb Meat
صوص بيج ماك صوص,"Sauces, Dressings & Condiments",29,3,Beef & Processed Meat
الطحان تمر مكسرات علبه زجاجه الطحان,"Nuts, Dates & Dried Fruits",22,30,Soft Drinks & Juices
مبنيس وراك دجاج متبله مبنيس,Poultry,27,3,Beef & Processed Meat
فيري الترا اصلي سائل غسيل الاطباق فيري 450جم,Cleaning Supplies,9,9,Cleaning Supplies
عصير بنكهة الخوخ من حاج عرفة رام عصير 400ج,Soft Drinks & Juices,30,30,Soft Drinks & Juices
farm fresh peeled garlic ram Farm 950G,Vegetables & Fruits,36,3,Beef & Processed Meat
شيكولاتة ريتر يبورت بموس الكاكاو شيكولاتة 100جم,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
tiffany digestive light natural wheat biscuits rams Tiffany 400g,Biscuits & Cakes,4,11,Cooking Ingredients
sunshine minced molokhia ram Sunshine 400G,Vegetables & Fruits,36,11,Cooking Ingredients
jewels assorted chocolates Assorted 650g Box,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
لمار حليب محلى لمار,Dairy & Eggs,12,32,Sugar & Home Baking
جهينه عصير جوافه بيور جهينه 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
شيبسى سوبر ملك انواع شيبسى,Chips & Crackers,7,17,"Hair, Shower, Bath & Soap"
باندا جبنه باندا 500ج,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
brownie chocolate cake s Brownie,Biscuits & Cakes,4,1,Bakery
كانز بيبسى كانز,Soft Drinks & Juices,30,30,Soft Drinks & Juices
happy egg baladi eggs Happy,Dairy & Eggs,12,12,Dairy & Eggs
fisherman caviar cremepas Fisherman,"Tins, Jars & Packets",35,10,"Condiments, Dressings & Marinades"
جيلى ترولى بطعم الكولا جيلى,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
fava beans with chili m Fava 400g Can,"Tins, Jars & Packets",35,11,Cooking Ingredients
mr organic italian basilico pasta sauce Mr 350g,"Tins, Jars & Packets",35,28,"Rice, Pasta & Pulses"
ميرندا مشروب غازى برتقال ل ميرندا 250مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
لبن بودره ميرو لبن 800جم,Dairy & Eggs,12,5,Breakfast Cereals & Bars
بارميزان برجر وجبه كبيرهكوكاكولا حجم كبير بارميزان,Bakery,1,5,Breakfast Cereals & Bars
ريتش صدور دجاج مدخن ريتش,Poultry,27,3,Beef & Processed Meat
farm fresh artichoke m Farm 400g,Vegetables & Fruits,36,3,Beef & Processed Meat
238 extmozzarella cheese Cheese,Dairy & Eggs,12,11,Cooking Ingredients
بطيخ بلدي 72 9 648 بطيخ,Vegetables & Fruits,36,30,Soft Drinks & Juices
مياه طبيعية صافي مياه 1.5لتر,Water,38,38,Water
زاري أرز ذهبي فاخر طويل الحبة زاري 1كجم,"Rice, Pasta & Pulses",28,39,Wear
توك بسكويت توك 24ج,Biscuits & Cakes,4,4,Biscuits & Cakes
ويفر بكريمة الكاكاو لواكر ويفر 45جم,Biscuits & Cakes,4,7,Chips & Crackers
مشروب ميرندا بلس يوسفى علبه مشروب,Soft Drinks & Juices,30,30,Soft Drinks & Juices
زاهر طحينه وزن زاهر كيس,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
